Case ID,Title,Section Hierarchy,Type,Priority,Step,Expected Result,Automation
FL-01,Launch - Force-quit and reopen reaches the main menu,Spider Solitaire Unity > Launch,Functional,High,"If Spider is already open, swipe it away from the app switcher, then tap the Spider icon.",The app opens.,Manual
FL-01,Launch - Force-quit and reopen reaches the main menu,Spider Solitaire Unity > Launch,Functional,High,"If Terms & Conditions or the tracking prompt appear, dismiss them (Continue, then Allow).",No pop-up is left on screen.,Manual
FL-01,Launch - Force-quit and reopen reaches the main menu,Spider Solitaire Unity > Launch,Functional,High,Wait until the menu finishes appearing.,You can see Play and the rest of the main menu.,Manual
FL-02,Launch - Fresh install shows Terms & Conditions,Spider Solitaire Unity > Launch,Functional,Medium,"Delete Spider and reinstall it, or otherwise reset it so it has never agreed to the terms. Open the app.",A Terms & Conditions card appears.,Manual
FL-02,Launch - Fresh install shows Terms & Conditions,Spider Solitaire Unity > Launch,Functional,Medium,Tap Continue.,The card goes away. The iOS tracking prompt may appear next.,Manual
FL-03,Launch - Fresh install shows the tracking prompt,Spider Solitaire Unity > Launch,Functional,Medium,"After Terms & Conditions, wait for the iOS tracking prompt (Allow / Ask App Not to Track).",The system tracking alert is on screen.,Manual
FL-03,Launch - Fresh install shows the tracking prompt,Spider Solitaire Unity > Launch,Functional,Medium,Tap Allow. Do not tap Ask App Not to Track — that does not clear the gate.,The prompt goes away and you can reach the main menu.,Manual
FL-04,Launch - Terms & Conditions link opens the terms page,Spider Solitaire Unity > Launch,Functional,High,"Delete Spider and reinstall it, or otherwise reset it so the Terms & Conditions card is on screen. Do not tap Continue yet.",The card shows links for Terms & Conditions and Privacy Policy.,Manual
FL-04,Launch - Terms & Conditions link opens the terms page,Spider Solitaire Unity > Launch,Functional,High,Tap the Terms & Conditions link.,"A terms web page opens, not the Privacy Policy page.",Manual
FL-04,Launch - Terms & Conditions link opens the terms page,Spider Solitaire Unity > Launch,Functional,High,"If Accept All Cookies appears, tap it and wait for the cookie banner to disappear.",The banner is gone and the Terms of Service heading is fully visible.,Manual
FL-04,Launch - Terms & Conditions link opens the terms page,Spider Solitaire Unity > Launch,Functional,High,Close the page or tap Back.,The Terms & Conditions card is still there. Do not tap Continue yet.,Manual
FL-05,Launch - Privacy Policy link opens the privacy page,Spider Solitaire Unity > Launch,Functional,High,"On the same Terms & Conditions card, tap Privacy Policy.","A privacy web page opens, not the Terms & Conditions page.",Manual
FL-05,Launch - Privacy Policy link opens the privacy page,Spider Solitaire Unity > Launch,Functional,High,"If Accept All Cookies appears, tap it and wait for the cookie banner to disappear.",The banner is gone and the Privacy Notice heading is fully visible.,Manual
FL-05,Launch - Privacy Policy link opens the privacy page,Spider Solitaire Unity > Launch,Functional,High,Close the page or tap Back.,The Terms & Conditions card is still there. Continue is checked separately in FL-02.,Manual
FL-06,Launch - Latest odd TestFlight build installs,Spider Solitaire Unity > Launch,Functional,High,Open TestFlight and tap Spider / Spider Solitaire.,The TestFlight page for this game is showing.,Manual
FL-06,Launch - Latest odd TestFlight build installs,Spider Solitaire Unity > Launch,Functional,High,Scroll to Previous Builds and tap it. Tap the top row.,The newest build's page is showing.,Manual
FL-06,Launch - Latest odd TestFlight build installs,Spider Solitaire Unity > Launch,Functional,High,"If that page's version in parentheses is odd, delete Spider if it is installed, then tap Install and wait. If it is even, stop.",The odd build installs. An even newest build leaves the existing Spider installation unchanged.,Manual
MM-01,Main Menu - All eight controls are visible,Spider Solitaire Unity > Main Menu,Functional,High,Open the app and wait until the menu finishes animating (a Game Center toast or sparkle can hide a label for a moment).,"Play, Stats, Options, Help, About, More Games, Choose Look, and the Spider logo are all on screen.",Manual
ST-01,Statistics - Opens from the main menu,Spider Solitaire Unity > Statistics,Functional,Medium,"From the main menu, tap Stats.",The Statistics screen opens. The header reads Statistics. The main menu is gone.,Manual
ST-03,Statistics - Page scrolls down to Reset Statistics,Spider Solitaire Unity > Statistics,Functional,Medium,"From the main menu, tap Stats.",The Statistics screen opens. Game Center is in the header.,Manual
ST-03,Statistics - Page scrolls down to Reset Statistics,Spider Solitaire Unity > Statistics,Functional,Medium,Scroll the page all the way down. Do not tap Reset.,"Reset Statistics is at the bottom. If you cannot reach it, the lower difficulty blocks did not render.",Manual
ST-04,Statistics - Back returns to the main menu,Spider Solitaire Unity > Statistics,Functional,Medium,"From Statistics, tap Back.",The main menu is showing.,Manual
OP-01,Options - Opens from the main menu,Spider Solitaire Unity > Options,Functional,Medium,"From the main menu, tap Options.",The Options screen opens. The main menu is gone.,Manual
OP-03,"Options - Applause Volume moves to min, max, and middle",Spider Solitaire Unity > Options,Functional,High,"From the main menu, tap Options and find Applause Volume.","A slider with a knob is on the row. The - and + marks are labels, not buttons.",Manual
OP-03,"Options - Applause Volume moves to min, max, and middle",Spider Solitaire Unity > Options,Functional,High,"Drag the knob all the way left, all the way right, then to the middle.","The knob sits at the left end, then the right end, then somewhere in the middle — not only at the two ends.",Manual
OP-04,Options - Applause Volume stays after you leave the screen,Spider Solitaire Unity > Options,Functional,High,"On Options, drag Applause Volume to a new position and remember where the knob sits.",The knob moves.,Manual
OP-04,Options - Applause Volume stays after you leave the screen,Spider Solitaire Unity > Options,Functional,High,"Go back to the main menu, then open Options again.",The knob is still where you left it.,Manual
OP-05,Options - Auto Mute Sounds turns off and on,Spider Solitaire Unity > Options,Functional,High,Open Options and look at Auto Mute Sounds (it ships ON).,You can tell whether the toggle is on or off.,Manual
OP-05,Options - Auto Mute Sounds turns off and on,Spider Solitaire Unity > Options,Functional,High,"Tap the toggle, then tap it again.",It flips the first time and returns the second time. A tap that does nothing fails.,Manual
OP-06,"Options - Card Lowering moves to min, max, and middle",Spider Solitaire Unity > Options,Functional,High,"Open Options, scroll to Card Lowering, and drag the knob all the way left, all the way right, then to the middle.",The knob reaches both ends and can sit in the middle. It is not a stepped control that only snaps to the ends.,Manual
OP-07,Options - Use Hearts turns on and off,Spider Solitaire Unity > Options,Functional,High,"Open Options, scroll to Use Hearts (it ships OFF), and tap the toggle twice.","It turns on, then back off.",Manual
HP-01,Help - Opens on Introduction,Spider Solitaire Unity > Help,Functional,Medium,"From the main menu, tap Help.",Help opens with the Introduction heading. The main menu is gone.,Manual
HP-02,Help - Rules scroll down to the FAQ link,Spider Solitaire Unity > Help,Functional,Medium,"From the main menu, tap Help.",Help opens on Introduction.,Manual
HP-02,Help - Rules scroll down to the FAQ link,Spider Solitaire Unity > Help,Functional,Medium,Scroll the rules text down.,A frequently asked questions link appears at the bottom. A header with an empty body fails.,Manual
HP-03,Help - Back returns to the main menu,Spider Solitaire Unity > Help,Functional,Medium,"From Help, tap Back.",The main menu is showing.,Manual
AB-01,About - Opens from the About menu item,Spider Solitaire Unity > About,Functional,Medium,"From the main menu, tap About.",The About screen opens. You can see the copyright line.,Manual
AB-03,About - Version and links are on the page,Spider Solitaire Unity > About,Functional,Medium,"From the main menu, tap About.","About opens with a version line, copyright, and links for Help, frequently asked questions, and submit feedback. Do not tap ad free version or submit feedback here — they leave the app.",Manual
AB-04,About - Frequently asked questions stays in the app,Spider Solitaire Unity > About,Functional,Medium,"On About, tap frequently asked questions.",An FAQ screen opens inside Spider. You do not leave for a browser or the App Store.,Manual
AB-05,About - FAQ scrolls down to submit feedback,Spider Solitaire Unity > About,Functional,Medium,Open FAQ from About. The first screen ends mid-answer. Scroll down.,Submit feedback appears at the bottom. The FAQ title at the top stays put; you are still on FAQ.,Manual
AB-06,About - Spider logo also opens About,Spider Solitaire Unity > About,Functional,High,"From the main menu, tap the Spider logo at the top.","About opens, the same screen as the About menu item.",Manual
MG-01,More Games - Gift icon opens the in-app promo page,Spider Solitaire Unity > More Games,Functional,Medium,"From the main menu, tap More Games (the gift icon).",An in-app page opens with Tap any game to download it! You do not jump to the App Store.,Manual
MG-02,More Games - Swipe reveals FreeCell and Spiderette,Spider Solitaire Unity > More Games,Functional,Medium,"On the More Games page, swipe the list of games up once.",FreeCell and Spiderette come into view. The back button and instruction line at the top stay put.,Manual
MG-03,More Games - Back returns to the main menu,Spider Solitaire Unity > More Games,Functional,Medium,"From the More Games page, tap Back.",The main menu is showing.,Manual
PL-01,Play - Opens the difficulty picker,Spider Solitaire Unity > Play,Functional,High,"From the main menu, tap Play.",A difficulty picker opens. A game does not start yet.,Manual
PL-02,Play - Picker shows all five levels,Spider Solitaire Unity > Play,Functional,High,Open Play.,"Easy, Medium, Hard, Bold, and Expert are all listed.",Manual
PL-03,Play - Easy starts a game,Spider Solitaire Unity > Play,Functional,High,"On the picker, tap Easy. If the app asks whether to abandon a paused game, tap Yes.",You are on the game table (cards and the in-game bar). A prompt that only closed the picker is not enough.,Manual
PL-04,Play - Declining abandon stays on the picker,Spider Solitaire Unity > Play,Functional,Medium,"With a paused game, open Play and tap its difficulty again.",An abandon confirmation appears.,Manual
PL-04,Play - Declining abandon stays on the picker,Spider Solitaire Unity > Play,Functional,Medium,Tap No.,"The new deal is cancelled. The difficulty picker remains open, the game table has not started, and the paused game has not been discarded.",Manual
QA-02,QA - Dev Panel is hidden until you unlock it,Spider Solitaire Unity > QA / Dev Panel,Functional,Medium,"Open About. If a Dev Panel button is already in the bottom-right, tap the spider emblem (the spider above the wordmark, not the words) five times quickly to hide it.",No Dev Panel button is showing. A build that always shows the button fails.,Manual
QA-03,QA - Five quick taps on the emblem show Dev Panel,Spider Solitaire Unity > QA / Dev Panel,Functional,High,"On About, tap the spider emblem five times quickly. Tap the emblem, not the Spider SOLITAIRE wordmark under it.",A Dev Panel button appears in the bottom-right corner.,Manual
QA-04,QA - Five more taps hide Dev Panel again,Spider Solitaire Unity > QA / Dev Panel,Functional,Medium,"With the Dev Panel button showing on About, tap the emblem five times quickly again.",The Dev Panel button disappears. The gesture turns it on and off.,Manual
GP-01,Gameplay - Table controls are on screen,Spider Solitaire Unity > Gameplay,Functional,High,Start or resume an Easy game.,"You can see Back, the in-game menu, tap to undo, tap to lower, and tap for hints.",Manual
GP-02,Gameplay - Dealing from the stock changes the board,Spider Solitaire Unity > Gameplay,Functional,High,"On a table that still has cards in the stock, look at the tableau, then tap the stock pile.",The board changes (new cards appear). A tap that does nothing fails.,Manual
GP-03,Gameplay - Undo puts the board back,Spider Solitaire Unity > Gameplay,Functional,High,"After a stock deal that changed the board, tap tap to undo.","The board looks like it did before the deal. Undo must restore the cards, not only play an animation.",Manual
GP-04,Gameplay - Tap to lower drops the playfield,Spider Solitaire Unity > Gameplay,Functional,High,"If the table is already shifted down, tap tap to lower once to raise it first (this setting survives leaving a game).",The top bar sits in its normal (raised) place.,Manual
GP-04,Gameplay - Tap to lower drops the playfield,Spider Solitaire Unity > Gameplay,Functional,High,Tap tap to lower once.,"The whole playfield slides down, including the top bar.",Manual
