Case ID,Title,Section Hierarchy,Type,Priority,Steps,Expected Result,Automation
FL-01,Launch - Force-quit and reopen reaches the main menu,Spider Solitaire Unity > Launch,Functional,High,"1. If Spider is already open, swipe it away from the app switcher, then tap the Spider icon.
2. If Terms & Conditions or the tracking prompt appear, dismiss them (Continue, then Allow).
3. Wait until the menu finishes appearing.","1. The app opens.
2. No pop-up is left on screen.
3. You can see Play and the rest of the main menu.",Manual
FL-02,Launch - Fresh install shows Terms & Conditions,Spider Solitaire Unity > Launch,Functional,Medium,"1. Delete Spider and reinstall it, or otherwise reset it so it has never agreed to the terms. Open the app.
2. Tap Continue.","1. A Terms & Conditions card appears.
2. The card goes away. The iOS tracking prompt may appear next.",Manual
FL-03,Launch - Fresh install shows the tracking prompt,Spider Solitaire Unity > Launch,Functional,Medium,"1. After Terms & Conditions, wait for the iOS tracking prompt (Allow / Ask App Not to Track).
2. Tap Allow. Do not tap Ask App Not to Track — that does not clear the gate.","1. The system tracking alert is on screen.
2. The prompt goes away and you can reach the main menu.",Manual
FL-04,Launch - Terms & Conditions link opens the terms page,Spider Solitaire Unity > Launch,Functional,High,"1. Delete Spider and reinstall it, or otherwise reset it so the Terms & Conditions card is on screen. Do not tap Continue yet.
2. Tap the Terms & Conditions link.
3. If Accept All Cookies appears, tap it and wait for the cookie banner to disappear.
4. Close the page or tap Back.","1. The card shows links for Terms & Conditions and Privacy Policy.
2. A terms web page opens, not the Privacy Policy page.
3. The banner is gone and the Terms of Service heading is fully visible.
4. The Terms & Conditions card is still there. Do not tap Continue yet.",Manual
FL-05,Launch - Privacy Policy link opens the privacy page,Spider Solitaire Unity > Launch,Functional,High,"1. On the same Terms & Conditions card, tap Privacy Policy.
2. If Accept All Cookies appears, tap it and wait for the cookie banner to disappear.
3. Close the page or tap Back.","1. A privacy web page opens, not the Terms & Conditions page.
2. The banner is gone and the Privacy Notice heading is fully visible.
3. The Terms & Conditions card is still there. Continue is checked separately in FL-02.",Manual
FL-06,Launch - Latest odd TestFlight build installs,Spider Solitaire Unity > Launch,Functional,High,"1. Open TestFlight and tap Spider / Spider Solitaire.
2. Scroll to Previous Builds and tap it. Tap the top row.
3. If that page's version in parentheses is odd, delete Spider if it is installed, then tap Install and wait. If it is even, stop.","1. The TestFlight page for this game is showing.
2. The newest build's page is showing.
3. The odd build installs. An even newest build leaves the existing Spider installation unchanged.",Manual
MM-01,Main Menu - All eight controls are visible,Spider Solitaire Unity > Main Menu,Functional,High,1. Open the app and wait until the menu finishes animating (a Game Center toast or sparkle can hide a label for a moment).,"1. Play, Stats, Options, Help, About, More Games, Choose Look, and the Spider logo are all on screen.",Manual
ST-01,Statistics - Opens from the main menu,Spider Solitaire Unity > Statistics,Functional,Medium,"1. From the main menu, tap Stats.",1. The Statistics screen opens. The header reads Statistics. The main menu is gone.,Manual
ST-03,Statistics - Page scrolls down to Reset Statistics,Spider Solitaire Unity > Statistics,Functional,Medium,"1. From the main menu, tap Stats.
2. Scroll the page all the way down. Do not tap Reset.","1. The Statistics screen opens. Game Center is in the header.
2. Reset Statistics is at the bottom. If you cannot reach it, the lower difficulty blocks did not render.",Manual
ST-04,Statistics - Back returns to the main menu,Spider Solitaire Unity > Statistics,Functional,Medium,"1. From Statistics, tap Back.",1. The main menu is showing.,Manual
